,precision,recall,f1-score,support
AD,0.9249720044792833,0.9249720044792833,0.9249720044792833,893.0
aircraft_code,0.0,0.0,0.0,33.0
airline_code,0.5882352941176471,0.29411764705882354,0.3921568627450981,34.0
airline_name,0.45652173913043476,0.8316831683168316,0.5894736842105264,101.0
airport_code,0.0,0.0,0.0,9.0
airport_name,0.0,0.0,0.0,21.0
arrive_date.date_relative,0.0,0.0,0.0,2.0
arrive_date.day_name,0.0,0.0,0.0,11.0
arrive_date.day_number,0.0,0.0,0.0,6.0
arrive_date.month_name,0.0,0.0,0.0,6.0
arrive_time.end_time,0.0,0.0,0.0,8.0
arrive_time.period_of_day,0.0,0.0,0.0,6.0
arrive_time.start_time,0.0,0.0,0.0,8.0
arrive_time.time,0.06451612903225806,0.11764705882352941,0.08333333333333333,34.0
arrive_time.time_relative,0.18181818181818182,0.12903225806451613,0.1509433962264151,31.0
booking_class,0.0,0.0,0.0,1.0
city_name,0.5757575757575758,0.3333333333333333,0.4222222222222222,57.0
class_type,0.0,0.0,0.0,24.0
compartment,0.0,0.0,0.0,1.0
connect,0.0,0.0,0.0,6.0
cost_relative,0.6470588235294118,0.5945945945945946,0.619718309859155,37.0
day_name,0.0,0.0,0.0,2.0
days_code,0.0,0.0,0.0,1.0
depart_date.date_relative,0.0,0.0,0.0,17.0
depart_date.day_name,0.8628571428571429,0.7122641509433962,0.7803617571059431,212.0
depart_date.day_number,0.23076923076923078,0.5454545454545454,0.3243243243243243,55.0
depart_date.month_name,0.7142857142857143,0.7142857142857143,0.7142857142857143,56.0
depart_date.today_relative,0.0,0.0,0.0,9.0
depart_date.year,0.0,0.0,0.0,3.0
depart_time.end_time,0.0,0.0,0.0,3.0
depart_time.period_mod,0.0,0.0,0.0,5.0
depart_time.period_of_day,0.42857142857142855,0.4153846153846154,0.421875,130.0
depart_time.start_time,0.0,0.0,0.0,3.0
depart_time.time,0.23529411764705882,0.3508771929824561,0.2816901408450704,57.0
depart_time.time_relative,0.4,0.09230769230769231,0.15,65.0
economy,0.0,0.0,0.0,6.0
fare_amount,0.0,0.0,0.0,2.0
fare_basis_code,0.45161290322580644,0.8235294117647058,0.5833333333333333,17.0
flight,0.0,0.0,0.0,1.0
flight_days,0.0,0.0,0.0,10.0
flight_mod,0.17391304347826086,0.6666666666666666,0.27586206896551724,24.0
flight_number,0.0,0.0,0.0,11.0
flight_stop,0.0,0.0,0.0,21.0
flight_time,0.0,0.0,0.0,1.0
fromloc.airport_code,0.0,0.0,0.0,5.0
fromloc.airport_name,0.0,0.0,0.0,12.0
fromloc.city_name,0.8837837837837837,0.9289772727272727,0.9058171745152355,704.0
fromloc.state_code,0.0,0.0,0.0,23.0
fromloc.state_name,0.0,0.0,0.0,17.0
meal,0.0,0.0,0.0,16.0
meal_code,0.0,0.0,0.0,1.0
meal_description,0.0,0.0,0.0,10.0
mod,0.0,0.0,0.0,2.0
or,0.0,0.0,0.0,3.0
period_of_day,0.0,0.0,0.0,4.0
restriction_code,0.0,0.0,0.0,4.0
return_date.date_relative,0.0,0.0,0.0,3.0
return_date.day_name,0.0,0.0,0.0,2.0
round_trip,0.38095238095238093,0.547945205479452,0.449438202247191,73.0
state_code,0.0,0.0,0.0,1.0
state_name,0.0,0.0,0.0,9.0
stoploc.airport_code,0.0,0.0,0.0,1.0
stoploc.city_name,0.3333333333333333,0.4,0.3636363636363636,20.0
toloc.airport_code,0.0,0.0,0.0,4.0
toloc.airport_name,0.0,0.0,0.0,3.0
toloc.city_name,0.8586956521739131,0.88268156424581,0.8705234159779615,716.0
toloc.country_name,0.0,0.0,0.0,1.0
toloc.state_code,0.5384615384615384,0.3888888888888889,0.45161290322580644,18.0
toloc.state_name,0.0,0.0,0.0,28.0
transport_type,0.0,0.0,0.0,10.0
micro avg,0.7381218557853549,0.7080428954423592,0.7227695675971537,3730.0
macro avg,0.14187728596291976,0.15278061408288757,0.13936543159340706,3730.0
weighted avg,0.6918154798042131,0.7080428954423592,0.6925044980896763,3730.0
