,precision,recall,f1-score,support
2,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,10.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,2.0
7,0.0,0.0,0.0,18.0
11,0.0,0.0,0.0,8.0
12,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,6.0
15,0.0,0.0,0.0,38.0
16,0.3939393939393939,0.3611111111111111,0.37681159420289856,36.0
17,0.18181818181818182,0.041666666666666664,0.06779661016949153,48.0
18,0.0,0.0,0.0,9.0
19,0.0,0.0,0.0,1.0
20,0.45714285714285713,0.9696969696969697,0.6213592233009709,33.0
21,0.0,0.0,0.0,21.0
22,0.0,0.0,0.0,12.0
23,0.0,0.0,0.0,6.0
24,0.0,0.0,0.0,3.0
25,0.8074454428754814,0.995253164556962,0.891566265060241,632.0
accuracy,0.7569988801791714,0.7569988801791714,0.7569988801791714,0.7569988801791714
macro avg,0.09201729378879571,0.11838639560158545,0.0978766846366801,893.0
weighted avg,0.6139981244032581,0.7569988801791714,0.6727818460990418,893.0
